DATE,NAME,LIQUID_PRODUCTION,ZONE,SUBZONE,SECTOR,WELL_TYPE,GAS_PRODUCTION,WATER_PRODUCTION,OIL_PRODUCTION
01/10/2020,AH-0003-2_P,1801.67685,WARA,MW,8,Producer,825.57,853.0973499999999,948.5795000000002
01/11/2020,AH-0003-2_P,2293.3775,WARA,MW,8,Producer,954.76,941.3719,1352.0056
01/12/2020,AH-0003-2_P,2352.5307999999995,WARA,MW,8,Producer,786.24,1142.2403999999997,1210.2904
01/01/2021,AH-0003-2_P,2153.49835,WARA,MW,8,Producer,601.17,973.13125,1180.3671
01/02/2021,AH-0003-2_P,1974.0732,WARA,MW,8,Producer,448.64,911.064,1063.0092
01/03/2021,AH-0003-2_P,1933.32975,WARA,MW,8,Producer,436.88,915.86495,1017.4648
01/04/2021,AH-0003-2_P,2032.77915,WARA,MW,8,Producer,541.48,974.12595,1058.6532000000002
01/05/2021,AH-0003-2_P,2082.61035,WARA,MW,8,Producer,568.59,931.65835,1150.9519999999998
01/06/2021,AH-0003-2_P,1945.345,WARA,MW,8,Producer,525.48,893.4436,1051.9014000000002
01/07/2021,AH-0003-2_P,1891.2548,WARA,MW,8,Producer,509.99,890.5001,1000.7547
01/08/2021,AH-0003-2_P,1690.0439,WARA,MW,8,Producer,532.86,804.5296,885.5142999999999
01/09/2021,AH-0003-2_P,1212.19365,WARA,MW,8,Producer,333.35,611.8521499999998,600.3415000000001
01/10/2021,AH-0003-2_P,1616.68805,WARA,MW,8,Producer,376.05,810.7312499999998,805.9568000000002
01/11/2021,AH-0003-2_P,1790.40945,WARA,MW,8,Producer,522.79,642.1194499999998,1148.2900000000004
01/12/2021,AH-0003-2_P,1876.68315,WARA,MW,8,Producer,635.36,744.7765499999998,1131.9066000000005
01/01/2022,AH-0003-2_P,1869.01555,WARA,MW,8,Producer,654.84,667.98165,1201.0339
01/02/2022,AH-0003-2_P,2024.23825,WARA,MW,8,Producer,689.59,790.77635,1233.4619000000002
01/03/2022,AH-0003-2_P,1684.8449,WARA,MW,8,Producer,613.14,635.6538999999998,1049.1910000000005
01/04/2022,AH-0003-2_P,1274.53035,WARA,MW,8,Producer,333.74,583.8381499999998,690.6922000000002
01/05/2022,AH-0003-2_P,1265.2838,WARA,MW,8,Producer,234.16,548.2015,717.0822999999999
01/06/2022,AH-0003-2_P,1247.12835,WARA,MW,8,Producer,312.68,489.3416500000001,757.7866999999999
01/07/2022,AH-0003-2_P,1116.1129,WARA,MW,8,Producer,328.39,338.4822,777.6307000000002
01/08/2022,AH-0003-2_P,1438.5627,WARA,MW,8,Producer,471.09,601.4483999999999,837.1143000000001
01/09/2022,AH-0003-2_P,1562.77785,WARA,MW,8,Producer,477.22,680.44585,882.332
01/10/2022,AH-0003-2_P,1477.70615,WARA,MW,8,Producer,509.17,753.4243499999998,724.2818000000002
01/11/2022,AH-0003-2_P,1701.8042,WARA,MW,8,Producer,690.67,732.5458,969.2584
01/12/2022,AH-0003-2_P,1530.05445,WARA,MW,8,Producer,497.17,671.0875499999999,858.9669000000002
01/01/2023,AH-0003-2_P,1624.2815,WARA,MW,8,Producer,456.36,779.52,844.7615000000001
01/02/2023,AH-0003-2_P,1690.8261999999993,WARA,MW,8,Producer,341.02,1092.5053999999998,598.3207999999995
01/03/2023,AH-0003-2_P,2331.86605,WARA,MW,8,Producer,515.82,1526.04235,805.8237000000001
01/04/2023,AH-0003-2_P,2442.97275,WARA,MW,8,Producer,782.76,1321.01235,1121.9604
01/05/2023,AH-0003-2_P,2006.7388,WARA,MW,8,Producer,634.29,1178.1308,828.6080000000002
01/06/2023,AH-0003-2_P,2389.8402,WARA,MW,8,Producer,769.89,1356.1009,1033.7393000000002
01/07/2023,AH-0003-2_P,1532.14905,WARA,MW,8,Producer,359.57,834.01535,698.1337
01/08/2023,AH-0003-2_P,1530.4238999999998,WARA,MW,8,Producer,335.07,881.1620999999999,649.2617999999999
01/09/2023,AH-0003-2_P,1569.21245,WARA,MW,8,Producer,352.67,926.90815,642.3042999999999
01/10/2023,AH-0003-2_P,1569.99525,WARA,MW,8,Producer,381.03,891.3425499999997,678.6527000000002
01/11/2023,AH-0003-2_P,1739.5553,WARA,MW,8,Producer,447.7,943.0365,796.5188
01/12/2023,AH-0003-2_P,1916.9177,WARA,MW,8,Producer,574.7,860.8417999999998,1056.0759000000005
01/01/2024,AH-0003-2_P,2277.46475,WARA,MW,8,Producer,610.47,1154.5726499999996,1122.8921000000005
01/02/2024,AH-0003-2_P,2356.8771,WARA,MW,8,Producer,664.98,1206.4696,1150.4075000000005
01/03/2024,AH-0003-2_P,2637.6196,WARA,MW,8,Producer,755.64,1264.5478999999998,1373.0717000000002
01/04/2024,AH-0003-2_P,2541.7305,WARA,MW,8,Producer,764.36,1106.6342,1435.0963000000002
01/05/2024,AH-0003-2_P,1771.42465,WARA,MW,8,Producer,502.28,829.4275499999999,941.9971
01/06/2024,AH-0003-2_P,1417.14555,WARA,MW,8,Producer,255.86,890.34785,526.7977
01/07/2024,AH-0003-2_P,1413.93515,WARA,MW,8,Producer,239.42,910.01855,503.9166
01/08/2024,AH-0003-2_P,1403.72435,WARA,MW,8,Producer,248.24,927.4562499999998,476.2681000000001
01/09/2024,AH-0003-2_P,1693.39915,WARA,MW,8,Producer,327.36,890.7335499999997,802.6656000000003
01/10/2024,AH-0003-2_P,1889.4667,WARA,MW,8,Producer,378.9,853.4526,1036.0141
01/01/2010,AH-0014-1_P,2756.1622,WARA,MW,8,Producer,1097.58,2.4563,2753.7059000000004
01/02/2010,AH-0014-1_P,2928.7687,WARA,MW,8,Producer,997.01,0.0,2928.7687
01/03/2010,AH-0014-1_P,2886.8301,WARA,MW,8,Producer,1042.0,0.0,2886.8301
01/04/2010,AH-0014-1_P,1942.08415,WARA,MW,8,Producer,697.21,1.20785,1940.8763
01/05/2010,AH-0014-1_P,1403.39685,WARA,MW,8,Producer,451.61,1.30935,1402.0875
01/06/2010,AH-0014-1_P,1424.3511,WARA,MW,8,Producer,490.56,2.3953999999999995,1421.9557
01/07/2010,AH-0014-1_P,1710.60595,WARA,MW,8,Producer,440.48,2.87245,1707.7334999999998
01/08/2010,AH-0014-1_P,964.60445,WARA,MW,8,Producer,259.53,1.61385,962.9906
01/09/2010,AH-0014-1_P,258.13015,WARA,MW,8,Producer,65.98,0.43645,257.69370000000004
01/10/2010,AH-0014-1_P,934.18075,WARA,MW,8,Producer,240.12,1.5732499999999998,932.6075
01/11/2010,AH-0014-1_P,0.0,WARA,MW,8,Producer,0.0,0.0,0.0
01/12/2010,AH-0014-1_P,0.0,WARA,MW,8,Producer,0.0,0.0,0.0
01/01/2011,AH-0014-1_P,517.6517999999999,WARA,MW,8,Producer,105.61,0.8728999999999999,516.7788999999999
01/02/2011,AH-0014-1_P,960.1004,WARA,MW,8,Producer,291.75,18.067,942.0334
01/03/2011,AH-0014-1_P,1181.0932999999998,WARA,MW,8,Producer,453.46,13.5401,1167.5531999999998
01/04/2011,AH-0014-1_P,810.9420500000001,WARA,MW,8,Producer,264.81,0.31465,810.6274000000001
01/05/2011,AH-0014-1_P,1654.3483,WARA,MW,8,Producer,594.63,0.0,1654.3483
01/06/2011,AH-0014-1_P,1229.8682,WARA,MW,8,Producer,421.2,0.0,1229.8682
01/07/2011,AH-0014-1_P,676.9708,WARA,MW,8,Producer,270.07,0.0,676.9708
01/08/2011,AH-0014-1_P,1127.3812,WARA,MW,8,Producer,553.24,0.0,1127.3812
01/09/2011,AH-0014-1_P,1507.8536,WARA,MW,8,Producer,844.29,0.0,1507.8536
01/10/2011,AH-0014-1_P,1702.1327,WARA,MW,8,Producer,884.02,2.0706,1700.0621
01/11/2011,AH-0014-1_P,2252.1367,WARA,MW,8,Producer,837.65,0.0,2252.1367
01/12/2011,AH-0014-1_P,2232.91995,WARA,MW,8,Producer,887.4,0.01015,2232.9098
01/01/2012,AH-0014-1_P,2256.6344,WARA,MW,8,Producer,1054.2,0.0812,2256.5532
01/02/2012,AH-0014-1_P,2238.67845,WARA,MW,8,Producer,940.06,2.91305,2235.7654
01/03/2012,AH-0014-1_P,2203.24945,WARA,MW,8,Producer,961.63,4.11075,2199.1387
01/04/2012,AH-0014-1_P,2235.2806,WARA,MW,8,Producer,1026.59,12.1597,2223.1209
01/05/2012,AH-0014-1_P,2108.7102,WARA,MW,8,Producer,923.41,1.6645999999999996,2107.0456
01/06/2012,AH-0014-1_P,1623.7297,WARA,MW,8,Producer,896.98,4.06,1619.6697
01/07/2012,AH-0014-1_P,2020.1901,WARA,MW,8,Producer,775.45,4.0397,2016.1504
01/08/2012,AH-0014-1_P,2117.79235,WARA,MW,8,Producer,831.65,4.90245,2112.8899
01/09/2012,AH-0014-1_P,2142.6978,WARA,MW,8,Producer,852.96,0.8525999999999999,2141.8452
01/10/2012,AH-0014-1_P,2169.4277999999995,WARA,MW,8,Producer,841.61,2.8622999999999994,2166.5655
01/11/2012,AH-0014-1_P,2159.76105,WARA,MW,8,Producer,710.19,12.555549999999998,2147.2055
01/12/2012,AH-0014-1_P,2191.4296,WARA,MW,8,Producer,720.48,5.927599999999999,2185.502
01/01/2013,AH-0014-1_P,2188.06365,WARA,MW,8,Producer,741.49,4.67915,2183.3845
01/02/2013,AH-0014-1_P,2253.80345,WARA,MW,8,Producer,727.74,5.36935,2248.4341
01/03/2013,AH-0014-1_P,2185.6815,WARA,MW,8,Producer,604.76,2.1518,2183.5297
01/04/2013,AH-0014-1_P,1989.5008,WARA,MW,8,Producer,889.13,0.406,1989.0948
01/05/2013,AH-0014-1_P,870.8914,WARA,MW,8,Producer,396.87,0.9135,869.9779
01/06/2013,AH-0014-1_P,202.0712,WARA,MW,8,Producer,107.29,0.1827,201.8885
01/07/2013,AH-0014-1_P,290.04600000000005,WARA,MW,8,Producer,137.9,0.1421,289.9039
01/08/2013,AH-0014-1_P,330.259,WARA,MW,8,Producer,143.77,0.2436,330.0154
01/09/2013,AH-0014-1_P,2131.7065999999995,WARA,MW,8,Producer,839.06,0.1827,2131.5239
01/10/2013,AH-0014-1_P,2272.18195,WARA,MW,8,Producer,967.68,1.47175,2270.7102
01/11/2013,AH-0014-1_P,2255.39,WARA,MW,8,Producer,969.42,4.669,2250.721
01/12/2013,AH-0014-1_P,2216.1705,WARA,MW,8,Producer,891.44,5.379499999999998,2210.791
01/01/2014,AH-0014-1_P,2237.93475,WARA,MW,8,Producer,848.44,2.0604499999999994,2235.8743
01/02/2014,AH-0014-1_P,2228.9414500000007,WARA,MW,8,Producer,833.84,0.37555,2228.5659000000005
01/03/2014,AH-0014-1_P,2147.4432,WARA,MW,8,Producer,776.07,2.4157,2145.0275
01/04/2014,AH-0014-1_P,2110.0499000000004,WARA,MW,8,Producer,759.57,2.3751,2107.6748
01/05/2014,AH-0014-1_P,1973.5947,WARA,MW,8,Producer,762.46,0.0,1973.5947
01/06/2014,AH-0014-1_P,2034.9279,WARA,MW,8,Producer,758.54,1.5834,2033.3445
01/07/2014,AH-0014-1_P,2016.01805,WARA,MW,8,Producer,774.17,2.26345,2013.7546
01/08/2014,AH-0014-1_P,1908.27765,WARA,MW,8,Producer,840.01,1.95895,1906.3187
01/09/2014,AH-0014-1_P,1981.57475,WARA,MW,8,Producer,916.83,1.85745,1979.7173
01/10/2014,AH-0014-1_P,1991.2314,WARA,MW,8,Producer,900.32,7.206499999999999,1984.0249
01/11/2014,AH-0014-1_P,1901.4406,WARA,MW,8,Producer,867.16,3.4104,1898.0302
01/12/2014,AH-0014-1_P,1955.0445,WARA,MW,8,Producer,886.76,4.161499999999998,1950.883
01/01/2015,AH-0014-1_P,2026.3566,WARA,MW,8,Producer,859.99,2.7405,2023.6161
01/02/2015,AH-0014-1_P,1980.94455,WARA,MW,8,Producer,817.47,2.93335,1978.0112
01/03/2015,AH-0014-1_P,2064.1534,WARA,MW,8,Producer,866.48,2.1924,2061.961
01/04/2015,AH-0014-1_P,2022.5208,WARA,MW,8,Producer,851.43,2.1112,2020.4096
01/05/2015,AH-0014-1_P,2462.8532,WARA,MW,8,Producer,1154.71,10.292099999999998,2452.5611
01/06/2015,AH-0014-1_P,2051.555,WARA,MW,8,Producer,997.36,0.0,2051.555
01/07/2015,AH-0014-1_P,1512.0317,WARA,MW,8,Producer,654.55,0.5481,1511.4836
01/08/2015,AH-0014-1_P,2027.03725,WARA,MW,8,Producer,844.97,9.65265,2017.3846
01/09/2015,AH-0014-1_P,2030.52795,WARA,MW,8,Producer,833.62,9.936849999999998,2020.5911
01/10/2015,AH-0014-1_P,1993.39785,WARA,MW,8,Producer,1228.75,3.29875,1990.0991
01/11/2015,AH-0014-1_P,2027.23115,WARA,MW,8,Producer,1215.28,4.17165,2023.0595
01/12/2015,AH-0014-1_P,2152.25985,WARA,MW,8,Producer,1062.32,2.85215,2149.4077
01/01/2016,AH-0014-1_P,2638.67945,WARA,MW,8,Producer,1188.62,0.3349499999999999,2638.3445
01/02/2016,AH-0014-1_P,2609.0368000000008,WARA,MW,8,Producer,1129.79,2.842,2606.1948000000007
01/03/2016,AH-0014-1_P,2509.5625,WARA,MW,8,Producer,1192.91,6.496000000000001,2503.0665
01/04/2016,AH-0014-1_P,2101.59085,WARA,MW,8,Producer,1080.85,4.963349999999998,2096.6275
01/05/2016,AH-0014-1_P,2606.15555,WARA,MW,8,Producer,1253.73,5.9986500000000005,2600.1569
01/06/2016,AH-0014-1_P,2566.5918,WARA,MW,8,Producer,1228.17,4.3442,2562.2476
01/07/2016,AH-0014-1_P,2684.4699,WARA,MW,8,Producer,1466.84,13.5401,2670.9298
01/08/2016,AH-0014-1_P,2808.8798999999995,WARA,MW,8,Producer,1529.07,11.977,2796.9029
01/09/2016,AH-0014-1_P,2778.9183,WARA,MW,8,Producer,1439.64,1.8473,2777.071
01/10/2016,AH-0014-1_P,2801.88675,WARA,MW,8,Producer,1390.31,8.69855,2793.1882
01/11/2016,AH-0014-1_P,2806.53695,WARA,MW,8,Producer,1369.83,3.13635,2803.4006
01/12/2016,AH-0014-1_P,2776.26715,WARA,MW,8,Producer,1274.74,1.34995,2774.9172000000003
01/01/2017,AH-0014-1_P,2721.2959,WARA,MW,8,Producer,1220.35,0.2842,2721.0117
01/02/2017,AH-0014-1_P,2701.3418,WARA,MW,8,Producer,1222.7,5.0141,2696.3277000000003
01/03/2017,AH-0014-1_P,1304.0682499999998,WARA,MW,8,Producer,529.93,5.65355,1298.4146999999998
01/04/2017,AH-0014-1_P,2496.44485,WARA,MW,8,Producer,1111.72,15.823849999999998,2480.621
01/05/2017,AH-0014-1_P,2342.2714,WARA,MW,8,Producer,868.95,1.5021999999999998,2340.7692
01/06/2017,AH-0014-1_P,2316.6792,WARA,MW,8,Producer,862.93,19.2038,2297.4754000000003
01/07/2017,AH-0014-1_P,2382.6892000000007,WARA,MW,8,Producer,1117.09,13.134099999999998,2369.5551000000005
01/08/2017,AH-0014-1_P,2387.97355,WARA,MW,8,Producer,970.27,16.61555,2371.358
01/09/2017,AH-0014-1_P,2325.5686,WARA,MW,8,Producer,922.71,17.9655,2307.6031000000003
01/10/2017,AH-0014-1_P,2328.1898,WARA,MW,8,Producer,944.66,9.2974,2318.8924
01/11/2017,AH-0014-1_P,2324.0438,WARA,MW,8,Producer,935.79,48.6388,2275.405
01/12/2017,AH-0014-1_P,2310.66655,WARA,MW,8,Producer,829.88,13.52995,2297.1366
01/01/2018,AH-0014-1_P,2321.3869,WARA,MW,8,Producer,796.09,34.0634,2287.3235
01/02/2018,AH-0014-1_P,2286.93015,WARA,MW,8,Producer,800.3,49.72485,2237.2053
01/03/2018,AH-0014-1_P,2351.168,WARA,MW,8,Producer,1035.18,16.0979,2335.0700999999995
01/04/2018,AH-0014-1_P,2595.3743000000004,WARA,MW,8,Producer,1120.05,5.0547,2590.3196000000003
01/05/2018,AH-0014-1_P,2554.16575,WARA,MW,8,Producer,1084.15,32.99764999999999,2521.1681000000003
01/06/2018,AH-0014-1_P,2503.20835,WARA,MW,8,Producer,985.12,47.69485,2455.5135
01/07/2018,AH-0014-1_P,2448.74675,WARA,MW,8,Producer,735.41,141.72445,2307.0223
01/08/2018,AH-0014-1_P,2360.12825,WARA,MW,8,Producer,665.51,210.17605,2149.9522
01/09/2018,AH-0014-1_P,2385.5968,WARA,MW,8,Producer,668.68,188.0795,2197.5173
01/10/2018,AH-0014-1_P,2370.8495,WARA,MW,8,Producer,669.11,93.90779999999998,2276.9417
01/11/2018,AH-0014-1_P,2376.60915,WARA,MW,8,Producer,702.93,96.67874999999998,2279.9304
01/12/2018,AH-0014-1_P,2380.03275,WARA,MW,8,Producer,703.25,84.90474999999998,2295.128
01/01/2019,AH-0014-1_P,2351.7452,WARA,MW,8,Producer,720.57,118.71439999999998,2233.0308
01/02/2019,AH-0014-1_P,2376.36645,WARA,MW,8,Producer,747.7,57.88545,2318.481
01/03/2019,AH-0014-1_P,2416.6439,WARA,MW,8,Producer,709.39,227.766,2188.8779
01/04/2019,AH-0014-1_P,2290.87575,WARA,MW,8,Producer,738.19,154.26985,2136.6059
01/05/2019,AH-0014-1_P,2318.0972,WARA,MW,8,Producer,756.47,127.0171,2191.0801
01/06/2019,AH-0014-1_P,2354.5218,WARA,MW,8,Producer,124.59,71.07029999999997,2283.4515
01/07/2019,AH-0014-1_P,1516.4633499999998,WARA,MW,8,Producer,64.75,9.91655,1506.5467999999998
01/08/2019,AH-0014-1_P,2469.6299,WARA,MW,8,Producer,113.09,2.4157,2467.2142
01/09/2019,AH-0014-1_P,2612.50575,WARA,MW,8,Producer,122.83,136.44645,2476.0593
01/10/2019,AH-0014-1_P,2853.19895,WARA,MW,8,Producer,1005.65,84.86415,2768.3348
01/11/2019,AH-0014-1_P,2739.9978,WARA,MW,8,Producer,900.25,135.27919999999995,2604.7186
01/12/2019,AH-0014-1_P,2551.58055,WARA,MW,8,Producer,874.44,96.27275,2455.3078
01/01/2020,AH-0014-1_P,2617.6547,WARA,MW,8,Producer,1105.19,164.7548,2452.8999
01/02/2020,AH-0014-1_P,2728.2309,WARA,MW,8,Producer,1136.06,192.7485,2535.4824
01/03/2020,AH-0014-1_P,2838.72795,WARA,MW,8,Producer,1246.03,211.45495,2627.273
01/04/2020,AH-0014-1_P,2665.72935,WARA,MW,8,Producer,1294.0,92.19245,2573.5369
01/05/2020,AH-0014-1_P,1095.94565,WARA,MW,8,Producer,459.58,67.89335,1028.0522999999998
01/06/2020,AH-0014-1_P,2734.2618,WARA,MW,8,Producer,1168.14,185.54200000000003,2548.7198000000003
01/07/2020,AH-0014-1_P,0.0,WARA,MW,8,Producer,0.0,0.0,0.0
01/08/2020,AH-0014-1_P,2663.87735,WARA,MW,8,Producer,1248.97,77.96215,2585.9152000000004
01/09/2020,AH-0014-1_P,2505.3562500000007,WARA,MW,8,Producer,1156.45,113.73075,2391.625500000001
01/10/2020,AH-0014-1_P,0.0,WARA,MW,8,Producer,0.0,0.0,0.0
01/11/2020,AH-0014-1_P,1704.82195,WARA,MW,8,Producer,746.11,121.97254999999998,1582.8494
01/12/2020,AH-0014-1_P,35.40575000000001,WARA,MW,8,Producer,15.6,2.32435,33.08140000000001
01/01/2021,AH-0014-1_P,13.84215,WARA,MW,8,Producer,6.4,0.8830499999999999,12.9591
01/02/2021,AH-0014-1_P,0.0,WARA,MW,8,Producer,0.0,0.0,0.0
01/03/2021,AH-0014-1_P,144.19809999999995,WARA,MW,8,Producer,75.59,7.734299999999998,136.46379999999996
01/04/2021,AH-0014-1_P,2598.0207000000005,WARA,MW,8,Producer,1215.62,32.155199999999994,2565.8655000000003
