NAME,X,Y,SECTOR,ZONE,SUBZONE,WELL_TYPE,LAT,LONG,RESERVOIR
BG-1423I,424630.85,3209943.905,0,RAWA,LW,Injector,28.9115453,48.02163853,RAWA
BG-1429I,424596.205,3213038.91,0,RAWA,LW,Injector,28.93945,48.02209323,RAWA
BG-1430I,416517.5631,3202816.598,0,RAWA,LW,Injector,28.84913887,47.93671361,RAWA
BG-1432I,422547.26,3211095.6,0,RAWA,LW,Injector,28.92240388,48.00059321,RAWA
BG-1447P,411169.74,3218690.78,0,RAWA,LW,Producer,28.99342039,47.88592054,RAWA
BG-1489I,414232.4708,3221497.052,0,RAWA,LW,Injector,29.01803844,47.91803403,RAWA
BG-1490P,413664.0738,3220983.18,0,RAWA,LW,Producer,29.01353283,47.91207486,RAWA
BG-1491I,413316.9219,3221326.121,0,RAWA,LW,Injector,29.01670136,47.90860149,RAWA
BG-1492P,413670.6529,3222406.248,0,RAWA,LW,Producer,29.02635924,47.91250251,RAWA
BG-1494P,412953.8043,3222413.933,0,RAWA,LW,Producer,29.02658784,47.90515225,RAWA
BG-1495P,412952.33,3221691.52,0,RAWA,LW,Producer,29.02007612,47.90495472,RAWA
BG-1498ST1P,412202.0963,3220969.153,0,RAWA,LW,Producer,29.0137307,47.89707866,RAWA
BG-1499P,413855.2393,3223901.811,0,RAWA,LW,Producer,29.03979947,47.9147747,RAWA
BG-1500P,413753.4225,3223493.673,0,RAWA,LW,Producer,29.0361431,47.91362689,RAWA
BG-1502P,413669.1083,3223094.518,0,RAWA,LW,Producer,29.03256381,47.91266096,RAWA
BG-1506I,413306.114,3222733.672,0,RAWA,LW,Injector,29.02939179,47.90884651,RAWA
BG-1508P,412855.9325,3223979.473,0,RAWA,LW,Producer,29.04072178,47.90454383,RAWA
BG-1521I,413715.81,3225676.68,0,RAWA,LW,Injector,29.05582953,47.91379444,RAWA
BG-1581I,411946.28,3220774.03,0,RAWA,LW,Injector,29.01202837,47.89440616,RAWA
BG-1588I,415760.0192,3206386.013,0,RAWA,LW,Injector,28.88148349,47.92986037,RAWA
BG-1654P,427340.6642,3216951.239,0,RAWA,LW,Producer,28.97407767,48.05124882,RAWA
BG-1665P,413215.25,3225312.34,0,RAWA,LW,Producer,29.05265673,47.90856688,RAWA
BG-1666I,412973.5895,3224899.833,0,RAWA,LW,Injector,29.04899201,47.9059834,RAWA
BG-1679P,413632.5944,3226198.413,0,RAWA,LW,Producer,29.06055107,47.91307301,RAWA
BG-1692I,415015.4016,3206166.549,0,RAWA,LW,Injector,28.87967088,47.92217869,RAWA
BG-1723P,414518.9688,3205343.871,0,RAWA,LW,Producer,28.87236516,47.91688703,RAWA
BG-1724I,412055.52,3221522.87,0,RAWA,LW,Injector,29.01875454,47.89571483,RAWA
BG-1728P,415515.3,3206378.795,0,RAWA,LW,Producer,28.88147293,47.92735217,RAWA
BG-1768I,414208.3166,3206408.674,0,RAWA,LW,Injector,28.8820326,47.91397369,RAWA
MG-0271I,412104.97,3226608.34,0,RAWA,LW,Injector,29.06458573,47.89750344,RAWA
MG-0400I,413662.454,3227253.536,0,RAWA,LW,Injector,29.07005546,47.91364702,RAWA
MG-0401P,414042.7388,3226130.734,0,RAWA,LW,Producer,29.05984955,47.91726373,RAWA
MG-0402I,413709.5221,3226533.174,0,RAWA,LW,Injector,29.06355151,47.91394718,RAWA
